Time (s),Var Fp1,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,ExG 1,notes
112,0.24,15319.0,21071.0,24795.5,22226.1,19356.4,20309.1,20090.9,14083.5,16003.0,17058.1,11822.9,40303.4,15294.7,12996.9,14086.2,33637.2,18509.9,18267.5,24907.9,0.0,430854.1,
113,0.323,23824.8,30521.2,36625.5,31026.4,30446.7,33746.6,31980.6,27174.5,35179.7,24388.2,30106.5,37983.2,28561.4,31243.2,32278.3,45564.1,22706.0,29421.9,32682.1,0.0,44124.3,
114,0.367,12551.1,14580.6,16672.9,16987.5,15270.9,17738.8,18876.9,7157.6,13669.6,10150.1,4194.8,21214.1,8403.6,7260.1,4547.4,48568.6,63037.3,14901.2,15185.3,0.0,10985.6,
115,0.37,20177.4,24951.2,27825.6,35025.9,27222.2,31238.2,33940.3,32131.2,47725.7,48247.6,32364.5,122338.4,60867.8,24429.6,43620.4,83805.0,85366.5,45963.9,43639.6,0.0,22497.8,
116,0.443,8660.8,13372.1,14399.5,9281.5,14879.3,16431.1,13624.8,14222.7,22320.2,20620.6,9468.3,103941.5,49302.6,9820.5,25876.8,44278.3,56151.9,19260.6,10595.3,0.0,22343.4,
117,0.376,14638.5,14624.4,15457.6,14548.8,17137.2,17612.2,17081.4,17542.6,21539.2,13882.2,10762.2,13913.7,11280.7,14637.6,10769.5,12612.9,13354.5,14182.3,20399.1,0.0,26788.8,
118,0.28,5624.0,7196.1,7832.8,6862.4,8055.5,8347.7,6385.8,9657.7,10302.8,10096.0,12320.3,11182.3,8608.5,7726.4,12783.6,14806.2,9482.9,5656.7,9984.5,0.0,25786.2,
119,0.339,9009.3,8031.9,11181.7,9205.0,10612.1,11367.8,9868.1,10875.5,13251.3,22616.2,12087.5,16680.1,15826.9,12987.5,16059.5,12677.1,21980.1,11595.0,18802.5,0.0,22238.3,
120,0.315,5716.5,10825.0,13800.8,14850.0,9289.2,12712.4,12527.7,7224.1,13883.2,26473.2,6775.6,37483.7,24249.2,6023.6,10552.0,16705.4,31217.2,13697.9,26646.1,0.0,19534.9,
121,0.317,7749.4,12119.6,18043.0,17168.3,12302.9,16129.2,18807.7,10444.9,20737.5,17346.9,7112.9,25025.5,19413.8,7508.0,11724.1,17526.2,15523.2,20605.0,22304.0,0.0,24276.6,
122,0.289,9792.5,9066.8,10086.0,12172.4,10475.9,10000.4,9640.2,13004.3,10056.1,18970.9,19520.6,8865.6,10467.5,15547.0,14679.7,13363.4,10610.5,10561.6,22426.9,0.0,24552.7,
